見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018－夏秋 特集「鈴木昭男　音と場の探求」／「滋賀県立近代美術館所蔵　院展の画家たちⅢ」 ,展示,～10月21日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「和歌山－日本　和歌山から近代・美術、そして近代美術館を見つめる」,展示,9月8日（土）～10月20日（土）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,西行法師生誕900年記念 特別展「西行」 －紀州に生まれ、紀州をめぐる－,展示,10月13日（土）～11月25日（日） ,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,標本作品展,展示,9月16日（日）～30日（日） ,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,ゆかし潟の自然観察会 ,イベント,9月29日（土）10:30～13:00,,小学生以上（小学生は保護者同伴）,20人（抽選）,,9月15日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,干潟の生物観察会,イベント,10月6日（土）10:30～13:00 ,,小学生以上（小学生は保護者同伴）,20人（抽選）,,9月22日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,家族で体験、夜の水族館,イベント,10月6日（土）～7日（日）,,3歳以上の子供とその家族 ,30人（抽選） ,"2,000円(高校生以下1,500円) ",9月22日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,9月15・22日、10月13日（土）14:00～10月6日（土）11:00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,10月5日（金）12:00～12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,第8回「万葉観月の会＋わかふるコンサート」,イベント,9月23日（祝）18:00～20:30（観月の会18:00～[有料]、コンサート19:00～[無料]）,,3歳以上（小学生以下は保護者同伴）,観月の会のみ30人（先着順）,500円 ,事前申込　 ,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉学習セミナー「万葉集入門」（全3回）,イベント,9月30日、10月21日、11月25日いずれも日曜14:00～15:30,,中学生以上,各20人（先着順） ,"全3回3,000円、1回ずつ1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「五感で愉（たの）しむ中国茶」,イベント,10月7日（日）13:30～15:00,,小学生以上（小学生は保護者同伴）,20人（先着順）,"1,000円", 事前申込 ,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,森のキノコ展　,展示,9月15日（土）～16日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,黒潮愛蘭会・秋の展示会,展示,9月15日（土）～16日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,キノコ観察会,イベント,9月16日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,和歌山の木で作ろう（木工）,イベント,10月7日（日）,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)9月14日（金）13:00～(2)9月28日（金）11:00～,(1)橋本保健所(2)新宮保健所 ,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
